year,rate_mean,rate_sd
1,5.972895768,1.194579154
2,5.972895768,1.194579154
3,5.972895768,1.194579154
4,5.972895768,1.194579154
5,5.972895768,1.194579154
6,7.831669515,1.566333903
7,7.831669515,1.566333903
8,7.831669515,1.566333903
9,7.831669515,1.566333903
10,7.831669515,1.566333903
11,1.858773747,1.566333903
12,1.858773747,1.566333903
13,1.858773747,1.566333903
14,1.858773747,1.566333903
15,1.858773747,1.566333903
16,19.53126646,5.472587195
17,19.53126646,5.472587195
18,19.53126646,5.472587195
19,19.53126646,5.472587195
20,19.53126646,5.472587195
21,19.53126646,5.472587195
22,19.53126646,5.472587195
23,19.53126646,5.472587195
24,19.53126646,5.472587195
25,19.53126646,5.472587195
26,-0.52151405,5.368284384
27,-0.52151405,5.368284384
28,-0.52151405,5.368284384
29,-0.52151405,5.368284384
30,-0.52151405,5.368284384
31,-0.52151405,5.368284384
32,-0.52151405,5.368284384
33,-0.52151405,5.368284384
34,-0.52151405,5.368284384
35,-0.52151405,5.368284384
