year,rate_mean,rate_sd
1,1.805855887,0.361171177
2,1.805855887,0.361171177
3,1.805855887,0.361171177
4,1.805855887,0.361171177
5,1.805855887,0.361171177
6,1.138027572,0.227605514
7,1.138027572,0.227605514
8,1.138027572,0.227605514
9,1.138027572,0.227605514
10,-0.667828315,0.227605514
11,-0.667828315,0.227605514
12,-0.667828315,0.227605514
13,-0.667828315,0.227605514
14,-0.667828315,0.227605514
15,0,0.227605514
16,2.994005069,0.826406528
17,2.994005069,0.826406528
18,2.994005069,0.826406528
19,2.994005069,0.826406528
20,2.994005069,0.826406528
21,2.994005069,0.826406528
22,2.994005069,0.826406528
23,2.994005069,0.826406528
24,2.994005069,0.826406528
25,0,0.826406528
26,2.083868702,1.243180269
27,2.083868702,1.243180269
28,2.083868702,1.243180269
29,2.083868702,1.243180269
30,2.083868702,1.243180269
31,2.083868702,1.243180269
32,2.083868702,1.243180269
33,2.083868702,1.243180269
34,2.083868702,1.243180269
35,0,1.243180269
